gene_id	gene_short_name	value_1	value_2	fold_change	log2_fold_change	test_stat	p_value	q_value
XLOC_007597	ram-2	4.57054	26.6323	5.82694623880802	2.54274	-5.1014	3.37155e-07	5.43325e-05
XLOC_034923	C45B2.2	4.5244	25.8953	5.72346967069941	2.51689	-3.57736	0.000347088	0.0190249
XLOC_034981	col-169	1.21885	6.94617	5.69896526686072	2.5107	-3.63568	0.000277245	0.0158997
XLOC_014338	thn-1	3.42044	19.2252	5.62066176362359	2.49074	-4.35545	1.32792e-05	0.00125143
XLOC_034980	col-168	2.37522	13.3354	5.61439278943275	2.48913	-4.37901	1.19221e-05	0.00115737
XLOC_002776	fip-6	16.1567	85.3067	5.27997097925352	2.40053	-4.70796	2.50212e-06	0.000298679
XLOC_032628	far-4	1.65923	8.52258	5.13647990218932	2.36078	-3.35235	0.000801281	0.0376462
XLOC_033891	F48F5.2	0.18707	0.956014	5.11044882014117	2.35345	-3.30429	0.000952187	0.0423881
XLOC_031348	mtl-1	69.9901	351.167	5.01736536809178	2.32693	-6.21839	5.0228e-10	1.2081e-07
XLOC_027342	C49G7.12	1.38282	6.92224	5.00590183407806	2.32363	-3.40012	0.000673565	0.0334806
XLOC_035686	fip-5	32.8817	163.458	4.97108234004622	2.31356	-5.63533	1.74727e-08	3.4762e-06
XLOC_019557	F49F1.7	3.42629	16.6892	4.87090552075386	2.28419	-4.16909	3.05819e-05	0.00247652
XLOC_014340	thn-2	87.5676	390.941	4.46444240974963	2.15848	-8.6834	0	0
XLOC_037008	tts-1	146.179	651.871	4.45943210792219	2.15686	-8.37051	0	0
XLOC_007208	col-38	4.8923	21.4463	4.38370282478526	2.13215	-4.03113	5.55087e-05	0.00409931
XLOC_030522	oac-32	0.855472	3.66758	4.28721271527359	2.10004	-3.43069	0.000602056	0.0306061
XLOC_027488	B0238.12	3.01995	12.7692	4.2282773145634	2.08007	-3.34911	0.000810717	0.0377592
XLOC_029392	T26H5.9	46.2997	193.777	4.18526797836722	2.06532	-4.36045	1.29797e-05	0.00123688
XLOC_007945	F08G2.5	4.72958	19.1605	4.05120193791427	2.01835	-3.61101	0.000305008	0.0171262
XLOC_007996	cpg-7	23.0711	93.2843	4.04334694115312	2.01555	-4.24347	2.20094e-05	0.0018473
XLOC_027066	Y5H2B.3	5.05835	20.0625	3.96620706841026	1.98776	-3.76326	0.000167713	0.0104756
XLOC_036162	K08H2.10	3.61987	14.0201	3.87310335323386	1.95349	-3.66851	0.000243972	0.0141935
XLOC_035500	F47E1.2	6.08531	23.3858	3.84299207157727	1.94223	-5.24131	1.59439e-07	2.79279e-05
XLOC_028280	lipl-2	3.07727	11.4616	3.72458580848681	1.89708	-3.61927	0.000295435	0.0168231
XLOC_014082	ZK596.1	7.0283	26.1164	3.71589567976823	1.89371	-3.96113	7.45966e-05	0.00534278
XLOC_028254	cyp-29A4	4.41776	16.0022	3.62225973803834	1.85689	-4.12414	3.72129e-05	0.00289703
XLOC_007918	clec-145,clec-146	47.5306	170.088	3.57848764835055	1.83935	-4.62889	3.6763e-06	0.000423168
XLOC_014454	scl-2	23.9486	85.618	3.57506630724026	1.83797	-5.20417	1.94869e-07	3.30559e-05
XLOC_031801	col-10	9.4767	33.7467	3.56101867098637	1.83229	-4.18846	2.80853e-05	0.00230916
XLOC_011942	F49F1.1	5.37123	18.8413	3.50780852524302	1.81057	-3.59403	0.000325604	0.0179696
XLOC_026950	cnc-4	117.058	391.891	3.34783865352399	1.74323	-5.4178	6.0338e-08	1.11764e-05
XLOC_038223	F53A9.8	140.181	468.893	3.34491604335932	1.74197	-5.81418	6.09305e-09	1.27519e-06
XLOC_007384	T15H9.6	2.04788	6.80126	3.32112034115797	1.73167	-3.34967	0.000809079	0.0377592
XLOC_031012	col-139	11.3525	36.4968	3.21484682419857	1.68475	-3.80491	0.000141858	0.00911559
XLOC_037968	spp-2	60.5933	190.333	3.14116559380829	1.6513	-4.63253	3.6122e-06	0.000420526
XLOC_014016	ugt-44	12.0138	37.3941	3.11257801938907	1.63811	-4.91152	9.03735e-07	0.000126641
XLOC_031799	col-144	10.844	32.607	3.00692732591355	1.58829	-3.69958	0.00021596	0.0126876
XLOC_021993	col-129	16.9403	49.2372	2.90651428665931	1.53929	-4.00159	6.2917e-05	0.00456715
XLOC_030508	cnc-2	167.855	487.179	2.90236708532638	1.53723	-4.89205	9.97912e-07	0.000138632
XLOC_029277	hil-1	8.26256	23.607	2.85709696556395	1.51455	-3.33775	0.000844596	0.0388741
XLOC_021319	clec-52	11.1952	31.3193	2.79756179680771	1.48417	-3.56542	0.00036328	0.0197113
XLOC_022116	K08D8.5	16.7347	45.7475	2.73369066161105	1.45085	-4.01884	5.84842e-05	0.00428397
XLOC_031083	ugt-63	6.16905	16.5477	2.68237324809953	1.42351	-3.38617	0.00070876	0.0346111
XLOC_033630	ttr-26	26.3135	68.131	2.58920644478862	1.37251	-3.31374	0.000920565	0.0414069
XLOC_001667	W04A4.2	11.217	28.9436	2.58033789715253	1.36756	-3.38749	0.000705348	0.0345743
XLOC_027327	nlp-31	125.011	312.428	2.49920630806704	1.32147	-4.24485	2.18739e-05	0.00184554
XLOC_001964	W03F11.1	342.992	850.287	2.47903733674993	1.30978	-6.56241	5.29434e-11	1.64074e-08
XLOC_013352	21ur-13425,C17H12.8	35.0757	86.7505	2.47323615345544	1.3064	-4.48876	7.16383e-06	0.000744807
XLOC_028743	cpr-1	664.665	1611.48	2.42450461520105	1.27769	-7.47075	7.9714e-14	3.29382e-11
XLOC_011722	ilys-3	113.413	269.058	2.37237158964775	1.24633	-4.20136	2.65312e-05	0.00220386
XLOC_034445	ZK813.2	178.513	400.738	2.24486704170749	1.16663	-4.24999	2.13784e-05	0.00182282
XLOC_010973	C48B4.1	25.6763	54.9852	2.14146782311179	1.0986	-3.53071	0.000414442	0.022115
XLOC_015823	21ur-10697,21ur-11268,F13G11.3	253.632	521.274	2.05524445325285	1.03931	-4.82902	1.37208e-06	0.000181238
XLOC_007861	clec-62	52.8832	108.542	2.05246838534218	1.03736	-3.36225	0.000773095	0.0368592
XLOC_032537	F45D3.4	195.21	399.631	2.04718289745666	1.03364	-3.85951	0.000113615	0.00762877
XLOC_027329	nlp-29	404.792	826.526	2.04185440767579	1.02988	-4.03029	5.57089e-05	0.00409931
XLOC_020705	K08B4.7,cpi-1	609.855	1234.79	2.0247306514282	1.01773	-4.87188	1.10541e-06	0.000151143
XLOC_014487	ttr-45	279.793	563.958	2.01562883451985	1.01123	-4.13176	3.60001e-05	0.00282996
XLOC_034258	hex-1	43.7192	86.8032	1.98547060246478	0.989481	-3.95117	7.777e-05	0.00549677
XLOC_022160	ttr-51	810.621	1607.35	1.98286574566869	0.987587	-3.91359	9.09338e-05	0.00626238
XLOC_013672	aagr-1	18.9548	37.5087	1.97885650438999	0.984667	-3.35933	0.000781303	0.0370621
XLOC_028724	sodh-1	54.8207	107.234	1.95609033837254	0.967973	-3.75202	0.000175416	0.0108307
XLOC_007008	E04F6.8	422.647	811.487	1.92001289464841	0.941116	-3.71811	0.000200716	0.0120692
XLOC_027492	C10G8.4	1176.03	2254.97	1.91744075222355	0.939182	-4.39013	1.13285e-05	0.00110714
XLOC_002769	F55H12.4	170.205	323.014	1.89779215768414	0.924322	-3.81503	0.000136167	0.00884812
XLOC_037829	ilys-5	1169.84	2156.99	1.84382917400302	0.882705	-4.65077	3.30703e-06	0.000391859
XLOC_015699	Y57G11B.5	295.638	542.45	1.83484347967297	0.875657	-4.07269	4.64729e-05	0.00351601
XLOC_035049	nas-11	41.3794	75.422	1.82269226004115	0.866071	-3.34996	0.000808224	0.0377592
XLOC_037970	spp-5	1492.49	2681.59	1.796715519775	0.845362	-4.25041	2.13378e-05	0.00182282
XLOC_011113	sip-1	2191.59	3656.31	1.66833383250514	0.738408	-4.34028	1.42301e-05	0.00131039
XLOC_031370	spn-4	767.136	1177.47	1.53488971638587	0.618135	-3.42812	0.000607775	0.0307031
XLOC_019263	C44B12.5	887.651	1307.77	1.47329466072943	0.559046	-3.33784	0.000844321	0.0388741
XLOC_026763	NA	674.902	446.015	0.660859275678645	-0.597585	3.61101	0.000305001	0.0171262
XLOC_001175	rpl-30	2598.84	1668.2	0.641902462207925	-0.639574	3.41077	0.000647801	0.0323198
XLOC_037268	F40F4.6	83.9808	53.508	0.637145600538921	-0.650305	3.41467	0.000638585	0.0320586
XLOC_028178	asp-2	556.278	343.681	0.6178210793389	-0.694739	3.58222	0.000340681	0.0187375
XLOC_032896	pes-9	293.539	181.29	0.617602286969171	-0.69525	3.37417	0.000740389	0.0356739
XLOC_008468	ubl-1	1779.14	1088.49	0.611810172610731	-0.708844	3.73304	0.00018918	0.0115043
XLOC_005723	rpl-43	2771.69	1670.28	0.602623149668242	-0.730672	3.38051	0.00072352	0.0350136
XLOC_002029	Y71F9AL.12,Y71F9AL.19,rpl-1	2175.53	1309.53	0.601937665699258	-0.732314	3.86392	0.000111584	0.00752375
XLOC_037956	F46H5.3	614.641	369.374	0.600959636258327	-0.73466	3.60453	0.00031272	0.0174377
XLOC_032113	D1054.10	1366.83	813.005	0.594810491686946	-0.749498	4.05219	5.07409e-05	0.0038032
XLOC_003519	lev-11	372.422	220.752	0.592746851639247	-0.754512	3.33334	0.000858098	0.0391735
XLOC_031289	gfi-1	107.367	61.183	0.569848768487248	-0.811349	4.31606	1.58841e-05	0.00142455
XLOC_036812	mlc-1	107.275	60.8679	0.567401944545738	-0.817557	3.32044	0.000898751	0.0408787
XLOC_035852	aco-1	87.8684	49.5757	0.564204078507599	-0.825711	3.59634	0.000322722	0.0179333
XLOC_037244	gpd-2,gpd-3,mai-1	722.223	405.209	0.561057679599016	-0.833779	3.96461	7.35166e-05	0.00528893
XLOC_031308	lec-10	250.298	139.788	0.558487927391157	-0.840402	3.3089	0.00093663	0.0418111
XLOC_028465	D1054.11	648.577	351.227	0.541535191840892	-0.884873	4.57352	4.79606e-06	0.000525772
XLOC_005019	F07H5.5	412.384	222.109	0.538596589667566	-0.892723	4.34765	1.37606e-05	0.0012818
XLOC_013964	gst-4	183.134	97.5672	0.532763075006102	-0.908434	3.33745	0.00084552	0.0388741
XLOC_033723	Y39B6A.1	167.333	89.0517	0.532183984580044	-0.910003	3.79941	0.000145042	0.00927518
XLOC_031290	F57F4.4	137.896	73.3363	0.531824446302299	-0.910978	4.96048	7.03176e-07	0.00010028
XLOC_036904	ifc-2	37.2262	19.693	0.529008936876101	-0.918636	3.45275	0.000554899	0.0285693
XLOC_005651	tag-10	116.436	61.3941	0.527277741063467	-0.923365	3.2782	0.0010447	0.0461242
XLOC_032575	F18E2.1	83.4848	43.7572	0.524133780865262	-0.931993	3.38529	0.000711019	0.0346165
XLOC_005010	K08F8.1	115.567	60.5621	0.524044416228747	-0.932239	3.50007	0.000465131	0.0244156
XLOC_036645	F23A7.8	2600.54	1353.27	0.520381291133295	-0.942359	3.5244	0.000424448	0.0225742
XLOC_034458	C12D12.1,glt-1	125.656	64.7883	0.51560136921733	-0.955672	3.3558	0.00079135	0.0372883
XLOC_036372	his-24	195.145	100.532	0.515167326035917	-0.956887	3.74851	0.000177891	0.0109
XLOC_036610	F53H4.2	323.656	166.628	0.514829632670235	-0.957833	4.18153	2.8955e-05	0.00236857
XLOC_005305	R03D7.1	104.894	53.7957	0.512859658992859	-0.963364	4.63868	3.50637e-06	0.000412446
XLOC_010508	C56G2.7,let-767	443.52	226.745	0.511239070177592	-0.96793	4.42665	9.57086e-06	0.000957978
XLOC_005430	alh-8	428.398	217.413	0.507500799434441	-0.978518	4.43793	9.08267e-06	0.000920549
XLOC_001395	R06C1.4	313.268	157.277	0.502051406993238	-0.994093	3.39735	0.000680428	0.0336353
XLOC_036107	bcat-1	121.68	60.9124	0.500596809046734	-0.998279	4.11863	3.81127e-05	0.00295282
XLOC_004494	ifb-1	102.047	50.9656	0.499428480459741	-1.00165	3.79476	0.000147785	0.00941324
XLOC_002006	cpz-1	282.133	140.762	0.49891985878637	-1.00312	4.41237	1.02244e-05	0.00101708
XLOC_005590	dct-18	179.553	89.5189	0.498563786268739	-1.00415	3.74959	0.000177123	0.0108944
XLOC_011393	act-5	298.3	147.782	0.495415186886872	-1.01329	4.15071	3.31444e-05	0.00264815
XLOC_005645	F54F11.2	84.1261	41.2124	0.4898900856837	-1.02947	4.84319	1.27772e-06	0.000171587
XLOC_030484	cpr-5	810.162	396.515	0.489425101169599	-1.03084	5.58298	2.36439e-08	4.59061e-06
XLOC_027393	T08H10.1	168.933	82.5967	0.488930056005137	-1.0323	4.16295	3.14163e-05	0.00253137
XLOC_035942	Y62H9A.4	280.767	137.173	0.488564180440261	-1.03338	3.70828	0.000208675	0.0124089
XLOC_035445	unc-27	314.72	153.036	0.486260059075631	-1.0402	4.55603	5.213e-06	0.000566855
XLOC_014124	T05E11.9	70.5887	34.183	0.484255385994255	-1.04616	3.35829	0.000784249	0.0370621
XLOC_019355	vha-3	216.633	104.688	0.483252801122879	-1.04915	3.5504	0.000384645	0.0208005
XLOC_011980	F55F10.1,Y24D9A.8	288.258	138.41	0.480160955477878	-1.05841	5.21309	1.85723e-07	3.18397e-05
XLOC_035251	vit-1	1161.75	555.009	0.477734178421943	-1.06572	6.32791	2.48506e-10	6.67446e-08
XLOC_029254	haf-7	30.6556	14.6373	0.477475958954943	-1.0665	3.42155	0.000622644	0.031356
XLOC_028654	nhr-68	53.6793	25.6197	0.477274115349696	-1.06711	3.31581	0.000913795	0.0412487
XLOC_013974	gta-1	230.043	109.237	0.474855345707313	-1.07444	4.94814	7.49279e-07	0.000105918
XLOC_020069	elo-6	612.798	290.182	0.473534025989921	-1.07846	5.14734	2.64206e-07	4.34456e-05
XLOC_034790	dpyd-1	19.9093	9.42193	0.473241992467305	-1.07935	3.39945	0.000675221	0.0334806
XLOC_002505	unc-87	182.142	86.1352	0.472904245903926	-1.08038	4.54208	5.57006e-06	0.00059841
XLOC_033316	cpl-1	1173.62	553.595	0.471696238048209	-1.08407	6.04257	1.51682e-09	3.44276e-07
XLOC_031707	F28A12.3,F28A12.4	278.181	130.945	0.470719655183402	-1.08706	4.71279	2.44349e-06	0.000293857
XLOC_019297	col-106	1211.8	569.05	0.469588831003104	-1.09053	5.97276	2.33279e-09	5.14971e-07
XLOC_037546	calu-1	196.675	92.1901	0.468743308272151	-1.09313	3.83239	0.000126904	0.00834555
XLOC_008912	Y40D12A.2	99.8493	46.621	0.466914403817023	-1.09877	4.24588	2.17737e-05	0.00184554
XLOC_035977	col-181	2336.46	1090.23	0.466616749563122	-1.09969	5.89333	3.78496e-09	8.02561e-07
XLOC_007790	daf-22	66.8001	31.1683	0.466590875553759	-1.09977	3.65555	0.000256627	0.0147698
XLOC_036215	cah-4	146.864	68.2037	0.464400039491643	-1.10656	3.50314	0.000459802	0.0242147
XLOC_038929	C29F7.3	97.7106	45.1998	0.462588081248828	-1.1122	3.3891	0.000701216	0.0345568
XLOC_006655	pmt-1	266.368	122.493	0.459864265428743	-1.12072	4.52134	6.14484e-06	0.000647216
XLOC_005969	acdh-9	44	20.2126	0.459376830903182	-1.12225	3.33705	0.000846715	0.0388741
XLOC_000368	cpn-3	301.64	138.306	0.458511555982973	-1.12497	4.35376	1.3382e-05	0.00125378
XLOC_010265	ugt-62	67.7107	31.0042	0.457892233441939	-1.12692	3.93318	8.38308e-05	0.00584819
XLOC_001814	rrn-1.2	290.32	132.008	0.454697822406402	-1.13702	4.12657	3.68213e-05	0.00288046
XLOC_008774	F09F7.3,F09F7.4,mlc-3	811.583	368.693	0.454288282682771	-1.13832	4.78751	1.68866e-06	0.000217702
XLOC_036199	col-184	1159.22	524.314	0.452296268901593	-1.14466	6.27185	3.56789e-10	8.71159e-08
XLOC_038641	T25C12.3	87.4224	39.4638	0.451416169131344	-1.14747	5.76806	8.0188e-09	1.63573e-06
XLOC_004491	ifb-2	60.3886	27.2041	0.450484695900336	-1.15045	3.45914	0.000541908	0.0280799
XLOC_001811	rrn-1.1	238.61	107.108	0.44888568672974	-1.15558	3.93494	8.32167e-05	0.00583059
XLOC_028275	F58E6.7	193.859	86.9639	0.448593306774123	-1.15652	3.29256	0.0009928	0.0439532
XLOC_033903	dct-16	3398.83	1516.79	0.446267299115203	-1.16402	4.84353	1.27554e-06	0.000171587
XLOC_019666	H06H21.8	53.6046	23.6895	0.441930068763298	-1.17811	3.38729	0.000705861	0.0345743
XLOC_036140	F17H10.1	40.6035	17.9176	0.441281141798004	-1.18023	3.43728	0.000587581	0.0299648
XLOC_000941	F36A2.3	152.218	66.9903	0.440092899360852	-1.18412	4.03409	5.48154e-05	0.00407074
XLOC_027510	F08F3.4	50.0695	21.9948	0.43928526108529	-1.18677	3.4282	0.000607587	0.0307031
XLOC_039237	F46F2.3	271.311	118.268	0.435912355157674	-1.19789	4.33185	1.47859e-05	0.00134619
XLOC_011788	Y54G2A.3	221.285	96.4364	0.43580057346692	-1.19826	3.47277	0.000515124	0.0267781
XLOC_027757	T15B7.1	184.777	80.4425	0.435350715642291	-1.19975	5.07529	3.86902e-07	6.05332e-05
