gene_id	gene_short_name	value_1	value_2	fold_change	log2_fold_change	test_stat	p_value	q_value
XLOC_028153	clec-45	0.169045	6.8302	40.404665933395	5.33645	-3.38937	0.000700529	0.00833699
XLOC_027563	cyp-35B1	0.453055	16.2126	35.785171781355	5.16129	-10.2394	0	0
XLOC_008466	cpt-3	0.0392543	1.37558	35.0426506405051	5.13104	-4.40468	1.0594e-05	0.000220272
XLOC_039848	NA	0.0487359	1.55909	31.9904637160265	4.99957	-3.02427	0.00249237	0.0231516
XLOC_033983	ptr-22	0.193562	6.12914	31.6650620200934	4.98482	-8.83818	0	0
XLOC_014643	K10D11.2	0.0592168	1.78007	30.0601436824775	4.90978	-3.33234	0.000861192	0.00989506
XLOC_039200	cyp-14A3	1.50305	45.1034	30.0078905300199	4.90727	-14.7286	0	0
XLOC_008246	NA	0.0628357	1.87586	29.8535377296739	4.89983	-3.58918	0.000331722	0.00445149
XLOC_013748	C50F7.5	0.486687	14.2191	29.2160655054962	4.86869	-8.07288	6.66134e-16	5.17883e-14
XLOC_028454	F44A2.7	0.15342	4.45574	29.042827290655	4.86011	-3.76349	0.000167559	0.00246225
XLOC_029836	F21H7.12	0.249388	6.90509	27.6882122339232	4.7912	-2.94717	0.00320696	0.0282138
XLOC_014636	F55G11.6	0.0514359	1.3399	26.0499735040887	4.70321	-2.90334	0.00369204	0.0316824
XLOC_029355	spp-12	2.18975	56.4108	25.7612376220922	4.68713	-7.94301	1.9984e-15	1.50459e-13
XLOC_029207	F15B9.6	0.147832	3.79753	25.6881306030157	4.68303	-3.09137	0.00199237	0.0194678
XLOC_003674	C50D2.1	0.151657	3.78176	24.9363775794221	4.64018	-3.84168	0.000122197	0.00189386
XLOC_006439	ins-19	1.2328	29.5319	23.9552505880819	4.58227	-5.2862	1.24883e-07	4.06935e-06
XLOC_000454	ugt-27	0.0672102	1.56712	23.3168339175911	4.5433	-3.46068	0.000538808	0.00669648
XLOC_034959	F43C9.1	0.186993	3.99726	21.3764443902955	4.41795	-3.74465	0.000180648	0.00262352
XLOC_004841	C30G12.2	9.60203	196.313	20.4450544500883	4.35368	-19.9911	0	0
XLOC_031759	cyp-35A1	0.134383	2.67848	19.93166049289	4.31699	-4.76944	1.84742e-06	4.80498e-05
XLOC_003087	nlp-4	0.990737	19.4257	19.607313869571	4.29332	-3.83408	0.000126034	0.00194071
XLOC_003545	fipr-23	0.828202	15.7841	19.0583326093711	4.25235	-6.95183	3.60556e-12	1.99141e-10
XLOC_036554	F55F3.4	0.0556589	0.978683	17.5836174586769	4.13616	-4.30385	1.67852e-05	0.000327574
XLOC_030830	Y46H3A.5	0.0770539	1.3158	17.0763768375661	4.09393	-3.20918	0.00133114	0.0141261
XLOC_005045	W01C9.2	0.0371201	0.627093	16.8936598150658	4.07841	-2.90119	0.00371748	0.0318434
XLOC_014204	ugt-43	0.386961	6.52662	16.8662811098625	4.07607	-4.41702	1.0007e-05	0.000210206
XLOC_027196	cnc-4	29.5951	494.621	16.7130137078447	4.0629	-17.3128	0	0
XLOC_031896	str-144	0.287233	4.47291	15.5724064450198	3.96092	-5.17389	2.29265e-07	6.97796e-06
XLOC_005794	Y39G8B.9	4.90457	75.251	15.3430138904023	3.93951	-8.69824	0	0
XLOC_033474	F36G9.7	0.365637	5.53188	15.1294747786789	3.91929	-4.251	2.12818e-05	0.000404835
XLOC_028622	B0024.4	1.26889	18.9829	14.9602253293661	3.90306	-10.1949	0	0
XLOC_030783	cnc-2	37.8629	557.403	14.7215737502527	3.87986	-16.3944	0	0
XLOC_033994	Y39B6A.24	1.81629	26.6435	14.6692173955103	3.87472	-11.1164	0	0
XLOC_030259	B0462.1	0.0336766	0.490695	14.5708183343381	3.86501	-2.81225	0.0049196	0.0393156
XLOC_001751	fipr-22	2.42297	34.2337	14.1288290521189	3.82057	-9.13269	0	0
XLOC_032914	far-4	0.922615	12.8521	13.9300641821987	3.80013	-6.52924	6.61049e-11	3.23057e-09
XLOC_014641	21ur-15387,F55G11.4	164.961	2270.67	13.7648787816664	3.78292	-18.2422	0	0
XLOC_014537	thn-2	24.3014	333.285	13.7146889782226	3.77765	-19.176	0	0
XLOC_011887	ilys-3	25.978	351.92	13.5468920595181	3.75989	-16.3386	0	0
XLOC_033405	Y6E2A.4	0.170274	2.28914	13.4439017569134	3.74888	-4.96029	7.03884e-07	1.95896e-05
XLOC_039263	R01E6.7	0.389175	5.17065	13.2861389261784	3.73185	-4.85515	1.20297e-06	3.23467e-05
XLOC_001451	M01G12.8	0.281147	3.66428	13.0332953751647	3.70413	-3.51434	0.000440852	0.00569169
XLOC_038107	nas-33	0.311906	3.95689	12.6861288908333	3.66518	-6.58373	4.58789e-11	2.29474e-09
XLOC_033104	T02B5.1	0.0957161	1.18514	12.381893068079	3.63016	-4.25979	2.04618e-05	0.000390796
XLOC_008245	NA	0.102762	1.24549	12.1201025448894	3.59933	-5.26336	1.41445e-07	4.57777e-06
XLOC_010421	T23F11.6	1.37695	16.4159	11.9219638603403	3.57555	-6.72391	1.7691e-11	9.30401e-10
XLOC_006281	C33C12.8	0.916843	10.7741	11.7513125424911	3.55475	-9.26043	0	0
XLOC_031118	lys-7	60.2372	707.021	11.737310821318	3.55303	-18.5664	0	0
XLOC_031627	mtl-1	26.3639	305.685	11.5948319075288	3.53541	-13.3274	0	0
XLOC_027312	cyp-33C2	1.06441	11.9155	11.194514069071	3.48472	-8.9666	0	0
XLOC_021993	C06G8.1	1.15937	12.9431	11.163906178178	3.48077	-9.22119	0	0
XLOC_022369	F55G11.3	0.154852	1.72874	11.1638287961453	3.48076	-3.00712	0.00263734	0.0242307
XLOC_004294	F56D3.1	0.78328	8.63872	11.0289229222809	3.46322	-4.16664	3.09129e-05	0.000564762
XLOC_037357	Y102A11A.5	1.68382	18.4733	10.9710522629296	3.45563	-5.08631	3.651e-07	1.08356e-05
XLOC_014535	thn-1	2.80783	30.4954	10.8608115181005	3.44106	-8.97753	0	0
XLOC_008056	F08G2.5	0.479374	5.1388	10.7198290939181	3.42221	-4.76595	1.87965e-06	4.86228e-05
XLOC_029547	F02D8.5	5.67381	60.4333	10.6512437555152	3.41295	-8.7742	0	0
XLOC_027590	cyp-35A3	2.88741	30.638	10.6108623173443	3.40747	-12.6593	0	0
XLOC_014639	dod-22	1.31004	13.8628	10.5819235873285	3.40353	-4.13307	3.57954e-05	0.000642476
XLOC_032018	his-50	1.24136	12.8553	10.3557490144439	3.37236	-3.56558	0.000363047	0.00480424
XLOC_032025	his-28	1.24136	12.8553	10.3557490144439	3.37236	-3.56558	0.000363047	0.00480424
XLOC_036701	F40E10.5	0.633184	6.53334	10.3182042136538	3.36712	-5.97098	2.35839e-09	9.55717e-08
XLOC_018292	H25K10.4	1.04711	10.7591	10.2750250071437	3.36107	-3.52559	0.00042254	0.00547503
XLOC_008028	clec-145,clec-146	28.5489	285.03	9.98387588926528	3.3196	-14.6059	0	0
XLOC_030560	cnc-7	24.416	242.291	9.92343777622714	3.31084	-9.39135	0	0
XLOC_019798	dct-7	34.469	336.199	9.75370270917597	3.28595	-8.7342	0	0
XLOC_031362	ugt-63	1.92324	18.5319	9.63577028232425	3.2684	-10.8696	0	0
XLOC_004241	T24E12.5	0.326254	3.13374	9.605228934394	3.26382	-6.07182	1.2647e-09	5.41663e-08
XLOC_008344	Y34F4.6	0.721938	6.92454	9.59159006020298	3.26177	-2.74498	0.00605148	0.0460459
XLOC_014628	C32H11.4	6.23781	59.5483	9.54635508706483	3.25495	-13.433	0	0
XLOC_031201	cyp-34A9	6.94191	63.7509	9.18347392727268	3.19904	-4.70938	2.48474e-06	6.12831e-05
XLOC_026964	lact-6	0.350157	3.19625	9.12807091618601	3.19031	-5.71991	1.06583e-08	3.98086e-07
XLOC_033883	B0462.5	0.872509	7.88251	9.0342823294638	3.17541	-4.49452	6.97283e-06	0.000152517
XLOC_030966	R05D8.9	0.448899	4.04263	9.00564744591636	3.17083	-4.45524	8.38003e-06	0.000179456
XLOC_008708	B0284.2	0.0845772	0.761419	9.00265166952194	3.17035	-2.7772	0.00548294	0.0427431
XLOC_014654	scl-2	22.909	206.037	8.99367031837821	3.16891	-15.6624	0	0
XLOC_002835	fipr-26	1.49401	13.3775	8.9540476764993	3.16254	-2.83855	0.00453188	0.0368973
XLOC_027960	lipl-4	0.1473	1.31706	8.94133344234682	3.16049	-3.11269	0.0018539	0.0184365
XLOC_039084	F19H6.3	0.102728	0.917922	8.93544760337931	3.15954	-4.03174	5.53647e-05	0.000954207
XLOC_030401	sdz-6	0.587404	5.1504	8.76807415633149	3.13226	-3.36419	0.000767676	0.00896458
XLOC_035973	fip-5	12.7916	110.29	8.62204444885927	3.10803	-10.0688	0	0
XLOC_038530	asns-2	16.7369	141.946	8.4810330148217	3.08424	-13.649	0	0
XLOC_037282	F56C3.9	1.02447	8.5254	8.32176760491326	3.05689	-5.4243	5.81832e-08	1.99117e-06
XLOC_003186	oac-34	0.0660837	0.543027	8.21727472134486	3.03866	-2.80719	0.0049975	0.0396942
XLOC_027578	nlp-31	54.3288	444.486	8.18141282727028	3.03235	-15.2034	0	0
XLOC_031199	cyp-34A7	0.186855	1.51908	8.12974443080786	3.02321	-3.74329	0.000181624	0.00263236
XLOC_033076	T26F2.3	0.164065	1.32131	8.05357867889176	3.00963	-2.83165	0.00463087	0.0374899
XLOC_027593	C49G7.7	0.0890346	0.712979	8.0078780283847	3.00142	-3.25779	0.00112282	0.0123174
XLOC_030267	C08E8.4	1.07549	8.59077	7.98775453937897	2.99779	-6.03997	1.54144e-09	6.42866e-08
XLOC_004372	F41C3.2	1.55359	11.9579	7.6969133186202	2.94428	-8.94643	0	0
XLOC_006098	T23F4.3	1.70093	13.0451	7.66938024667389	2.93911	-7.73642	1.02141e-14	7.37939e-13
XLOC_030677	lipl-3	0.121738	0.906772	7.44860366767246	2.89697	-3.00021	0.00269791	0.0246447
XLOC_037507	Y41G9A.10	11.8376	87.8502	7.42123864204697	2.89166	-12.0993	0	0
XLOC_033923	ttr-26	11.3338	84.0843	7.41887277434789	2.8912	-8.43109	0	0
XLOC_027712	21ur-14932,srr-6	0.332774	2.46441	7.40566864586093	2.88863	-4.29701	1.73117e-05	0.000336931
XLOC_010813	C07H6.9	0.920961	6.78795	7.37048726780563	2.88176	-4.73116	2.2324e-06	5.6124e-05
XLOC_029795	cyp-35D1	0.438375	3.14221	7.16784778036035	2.84154	-5.10135	3.37241e-07	1.00925e-05
XLOC_010106	Y22D7AL.14	0.197959	1.41697	7.15791791784755	2.83954	-3.36953	0.00075297	0.0088298
XLOC_027592	cyp-35A4	0.662377	4.67604	7.05947061102492	2.81956	-5.85589	4.74457e-09	1.8544e-07
XLOC_019750	clec-174	0.159412	1.117	7.00696650589533	2.80879	-3.28506	0.00101961	0.0114217
XLOC_030953	dod-3	14.5771	102.015	6.99827811924657	2.807	-10.9014	0	0
XLOC_003546	C37A5.3	4.17947	28.8221	6.89609667776284	2.78578	-4.36796	1.25415e-05	0.000254815
XLOC_030451	nlp-25	3.42578	23.6093	6.89165270099894	2.78485	-4.42439	9.67169e-06	0.000203761
XLOC_030797	oac-32	0.386193	2.62928	6.80818386666337	2.76727	-5.37544	7.63965e-08	2.55937e-06
XLOC_031731	ugt-41	6.58975	44.739	6.78919253802985	2.76324	-13.0987	0	0
XLOC_012139	F15E6.3	45.9747	311.893	6.78401801033802	2.76214	-13.584	0	0
XLOC_029474	clec-55	0.22674	1.51232	6.66983004344447	2.73765	-2.87724	0.00401174	0.0337377
XLOC_008707	B0284.1,B0284.6	0.372454	2.47754	6.65191622835715	2.73377	-4.71705	2.39293e-06	5.94287e-05
XLOC_002827	F55H12.4	63.2384	420.087	6.64293132577938	2.73182	-15.6275	0	0
XLOC_027696	ugt-14	0.187174	1.24176	6.63423446364223	2.72993	-3.64932	0.000262935	0.00365884
XLOC_022311	T04A11.1	0.544476	3.59647	6.60537285541557	2.72364	-4.31361	1.6061e-05	0.0003143
XLOC_022313	T04A11.4	0.544476	3.59647	6.60537285541557	2.72364	-4.31361	1.6061e-05	0.0003143
XLOC_000530	F55A12.6	0.196415	1.28032	6.51845473646946	2.70453	-3.27601	0.00105285	0.0116984
XLOC_010243	Y53G8AM.5	20.0149	127.959	6.3932078581654	2.67654	-12.007	0	0
XLOC_039819	F10D7.3	3.78794	24.1327	6.37091239764194	2.6715	-8.73147	0	0
XLOC_029662	T26H5.9	8.75628	55.4311	6.33045852458875	2.66231	-5.73444	9.78366e-09	3.68303e-07
XLOC_027580	nlp-29	133.059	839.398	6.30846934735356	2.65729	-14.3	0	0
XLOC_022368	F55G11.2	3.46776	21.8609	6.30405446819602	2.65628	-8.73603	0	0
XLOC_006162	bath-26	0.448012	2.78517	6.21674757141028	2.63616	-3.98452	6.76171e-05	0.00113662
XLOC_039844	T23E7.6	17.5279	107.648	6.14153804681636	2.6186	-4.70184	2.57831e-06	6.32637e-05
XLOC_011907	daao-1	3.00274	18.4002	6.12784582547074	2.61538	-8.25303	2.22045e-16	1.84671e-14
XLOC_021359	C42D4.13	0.300844	1.8338	6.09552295619687	2.60775	-2.87353	0.00405912	0.0339964
XLOC_004876	ZK1290.5	2.90111	17.3892	5.9940038063456	2.58352	-8.09388	6.66134e-16	5.17883e-14
XLOC_006458	ZC239.14,ZC239.22	1.92883	11.5345	5.98001871718532	2.58015	-3.28223	0.00102989	0.0114919
XLOC_019664	T26C12.2	0.572813	3.35197	5.85175756225624	2.54887	-3.50551	0.000455728	0.00585255
XLOC_033142	F47B8.4	0.367407	2.14971	5.85102750453455	2.54869	-3.29817	0.000973165	0.0109875
XLOC_027579	nlp-30	2.56048	14.9615	5.84320538500438	2.54676	-6.05132	1.43661e-09	6.06215e-08
XLOC_000534	dhs-2	7.46977	43.6199	5.83952086394042	2.54585	-7.49413	6.68354e-14	4.46767e-12
XLOC_030477	M162.5	1.5612	9.04107	5.79111039920747	2.53384	-7.03472	1.99663e-12	1.1334e-10
XLOC_027259	T10B5.8	1.74784	10.0561	5.75346071373773	2.52443	-7.40928	1.2701e-13	8.11103e-12
XLOC_027971	cpr-4	59.1346	336.925	5.69758285695747	2.51035	-14.6139	0	0
XLOC_027596	irg-2	0.923417	5.2206	5.65356154080268	2.49916	-4.61064	4.01433e-06	9.38317e-05
XLOC_036451	K08H2.10	2.43253	13.6546	5.61334215560495	2.48886	-6.8308	8.44436e-12	4.52421e-10
XLOC_030851	clec-206	0.221827	1.23717	5.57719610570405	2.47954	-3.41191	0.000645101	0.00778092
XLOC_002890	hsp-70	1.96478	10.8746	5.53475708522419	2.46852	-8.14659	4.44089e-16	3.54899e-14
XLOC_024330	M199.9	21.8151	120.573	5.52701297741112	2.4665	-5.9781	2.25755e-09	9.17451e-08
XLOC_029850	oac-18	0.151426	0.829397	5.47724342707722	2.45345	-3.19001	0.00142267	0.0148767
XLOC_027328	cyp-33C7	2.78799	15.2232	5.4602613274178	2.44897	-8.45947	0	0
XLOC_022460	C08F11.13	7.75394	42.1108	5.43089511025479	2.44119	-7.67425	1.66533e-14	1.16778e-12
XLOC_022359	C32H11.1	1.3093	7.09897	5.42194320129569	2.43881	-6.54987	5.7589e-11	2.86046e-09
XLOC_028537	lipl-2	4.64295	25.0882	5.40348432734369	2.43389	-9.18974	0	0
XLOC_033541	F21H7.3	0.483284	2.60973	5.40000221856289	2.43296	-3.29583	0.000981327	0.0110649
XLOC_006165	fbxa-162	0.318872	1.70226	5.33837258470541	2.4164	-3.1104	0.00186834	0.0185003
XLOC_002789	fer-1	0.10516	0.54797	5.21085460220544	2.38152	-3.01128	0.00260146	0.0239626
XLOC_004376	F26G1.2	14.648	75.0232	5.12176123747815	2.35664	-5.90708	3.48227e-09	1.38372e-07
XLOC_012138	F15E6.10	0.731636	3.67714	5.02592798699844	2.32939	-2.7478	0.00599974	0.0458229
XLOC_009528	dod-6	49.2927	244.982	4.96994539181939	2.31323	-12.1205	0	0
XLOC_009658	Y47D3B.1	0.234505	1.15373	4.9198693347736	2.29862	-3.1172	0.00182579	0.0182006
XLOC_008345	Y34F4.2	4.16324	20.2961	4.87506008447958	2.28542	-5.37565	7.63071e-08	2.55937e-06
XLOC_005515	F13D12.3	24.4061	115.773	4.74362511722608	2.24599	-11.8673	0	0
XLOC_037528	F52E4.5	5.7328	27.1562	4.73698794349525	2.24397	-8.94084	0	0
XLOC_038726	oac-14	0.946608	4.43761	4.68789416660638	2.22894	-5.96056	2.51382e-09	1.01582e-07
XLOC_033001	ttr-44	21.8819	99.6673	4.55477566768071	2.18738	-8.90983	0	0
XLOC_009503	ins-22	4.45286	20.1697	4.52958852650709	2.17938	-3.77194	0.000161983	0.00238681
XLOC_027475	F35F10.5	2.19802	9.87812	4.49409306319302	2.16803	-4.47986	7.46929e-06	0.000161891
XLOC_033037	F35E12.4	0.395789	1.77811	4.4925669390871	2.16754	-3.28132	0.00103324	0.0115202
XLOC_038930	F46C3.6	6.02418	26.9278	4.46995404707595	2.16026	-4.9572	7.15147e-07	1.98259e-05
XLOC_034652	Y41G9A.5	1.32494	5.85245	4.41713216531096	2.14311	-3.51089	0.000446617	0.00575573
XLOC_001742	gpdh-1	1.56715	6.867	4.38184970031713	2.13154	-3.94463	7.99248e-05	0.00130666
XLOC_033693	T05E12.3	10.4772	45.1755	4.31179921939593	2.10829	-8.80728	0	0
XLOC_031626	K11G9.5	1.72872	7.43145	4.29881790489364	2.10394	-6.24222	4.31416e-10	1.97801e-08
XLOC_028100	C03G6.5	2.5295	10.782	4.2625300355538	2.09171	-4.43292	9.29639e-06	0.000196432
XLOC_032342	ttr-23	2.00921	8.5066	4.23382019145205	2.08196	-4.22535	2.38569e-05	0.000449044
XLOC_008241	NA	2.13251	8.93605	4.19040591136938	2.06709	-4.93301	8.09713e-07	2.23609e-05
XLOC_000456	ugt-25	5.11854	21.2979	4.16094148495398	2.05691	-6.02489	1.69223e-09	7.01664e-08
XLOC_033512	fbxa-143	0.472629	1.96519	4.158000696904	2.05589	-3.27106	0.00107146	0.0118265
XLOC_031255	F32D1.11	2.00292	8.30612	4.14700561316488	2.05207	-4.19276	2.75582e-05	0.000511975
XLOC_003884	bath-47	0.249603	1.01826	4.0795216587801	2.0284	-3.37661	0.000733842	0.00865426
XLOC_012110	F49F1.1	52.8411	213.197	4.03469606808264	2.01246	-11.5525	0	0
XLOC_028261	clec-218	6.5042	26.0803	4.00977142800131	2.00352	-8.26763	2.22045e-16	1.84671e-14
XLOC_027065	M02H5.8	173.187	694.38	4.009410127251	2.00339	-11.4251	0	0
XLOC_019357	F11E6.11	3.35933	13.414	3.99304685260197	1.99749	-3.8884	0.000100907	0.00161282
XLOC_020924	cpi-1	200.259	798.852	3.98909090358527	1.99606	-11.7051	0	0
XLOC_031374	ugt-51	2.22457	8.79871	3.9552530535822	1.98377	-6.34539	2.21861e-10	1.03378e-08
XLOC_030828	hsp-16.2	4.49809	17.7714	3.95086896908021	1.98217	-4.54134	5.58986e-06	0.000125728
XLOC_007158	ZK1290.10	0.989431	3.88561	3.92711541946104	1.97347	-4.40936	1.03676e-05	0.000216996
XLOC_001698	W04A4.2	10.7638	42.2586	3.92599952974899	1.97306	-8.92951	0	0
XLOC_012088	clec-74	0.331702	1.29362	3.89996181921275	1.96346	-2.91806	0.00352215	0.0305175
XLOC_027131	R09E12.9	6.66876	25.9218	3.88706167842997	1.95868	-5.18041	2.21404e-07	6.7675e-06
XLOC_013857	aagr-1	4.96316	19.1976	3.86803272337874	1.9516	-7.24639	4.28102e-13	2.55167e-11
XLOC_030292	hmit-1.1	1.03548	3.97121	3.83514201075055	1.93928	-3.35575	0.000791494	0.00921263
XLOC_029323	F20G2.5	0.485225	1.84945	3.81152938865093	1.93037	-3.42223	0.000621108	0.007536
XLOC_027256	hsp-16.41	4.62437	17.5927	3.80435005228528	1.92765	-4.44287	8.87648e-06	0.000188395
XLOC_038522	F53A9.8	121.139	459.702	3.79484247447771	1.92404	-10.3657	0	0
XLOC_006606	R03H10.6	0.291251	1.10281	3.78646081828389	1.92085	-3.07953	0.00207326	0.0200826
XLOC_008107	cpg-7	7.80745	29.5561	3.78562104753593	1.92053	-4.81997	1.43581e-06	3.83196e-05
XLOC_014705	W02A2.9	39.5567	149.69	3.78417812669077	1.91998	-3.50549	0.000455766	0.00585255
XLOC_034258	F25C8.1	0.381694	1.43859	3.76896918601605	1.91417	-3.47274	0.00051517	0.00644751
XLOC_009016	F23F12.12	4.99718	18.6593	3.73396912906814	1.90071	-6.40827	1.47179e-10	6.94851e-09
XLOC_032822	F45D3.4	87.808	327.858	3.73381384088685	1.90065	-10.3796	0	0
XLOC_033374	F21A3.2	8.83037	32.9324	3.72944254221053	1.89896	-7.69702	1.39888e-14	9.95572e-13
XLOC_035787	F47E1.2	2.67618	9.95036	3.71811140995606	1.89457	-6.0933	1.10603e-09	4.82372e-08
XLOC_032384	F28H7.4	1.0858	4.0115	3.69450223161738	1.88538	-3.00494	0.00265631	0.0243437
XLOC_019773	F49F1.7	66.1015	243.257	3.680061815441	1.87973	-10.7919	0	0
XLOC_029648	dhs-23	7.26913	26.7132	3.67488728313046	1.8777	-6.98687	2.81086e-12	1.57068e-10
XLOC_006146	lips-14	5.66819	20.8156	3.67234092797268	1.8767	-4.89475	9.84325e-07	2.69231e-05
XLOC_006522	W10G11.1,W10G11.2,W10G11.3	9.98791	36.5888	3.66331560840544	1.87315	-4.9723	6.61639e-07	1.86314e-05
XLOC_033314	cyp-34A2	8.12512	29.7564	3.66227467740067	1.87274	-8.66184	0	0
XLOC_011053	F59B2.8	0.423255	1.54811	3.65763217591359	1.87091	-2.95739	0.00310255	0.0274471
XLOC_034357	dyf-11	0.366609	1.33566	3.64328536387311	1.86524	-3.18322	0.00145649	0.0151638
XLOC_006435	Y25C1A.14,srg-23	2.39739	8.70295	3.63017726975893	1.86004	-4.1584	3.20485e-05	0.000584017
XLOC_014329	R07H5.9	0.591184	2.12369	3.59225558529233	1.84489	-2.85519	0.00430109	0.0355032
XLOC_014557	F08G5.6	296.739	1063.75	3.58479346101445	1.84189	-10.022	0	0
XLOC_030879	cyp-32B1	1.49407	5.34937	3.58039808046687	1.84012	-5.02789	4.95908e-07	1.43023e-05
XLOC_027413	ugt-53	6.67199	23.878	3.57883492380757	1.83949	-8.14753	4.44089e-16	3.54899e-14
XLOC_007022	C18H9.6	10.5353	37.5556	3.56472306149611	1.83379	-7.2521	4.10338e-13	2.45602e-11
XLOC_012142	Y24D9B.1	1.13123	3.98129	3.51942562914601	1.81534	-4.75481	1.98628e-06	5.07389e-05
XLOC_027215	F16B4.7,cdc-25.2	32.2132	113.174	3.51328350554709	1.81282	-5.3462	8.98192e-08	2.98112e-06
XLOC_013950	nhr-11	1.60444	5.62045	3.50304616289832	1.80861	-4.25003	2.13743e-05	0.000406055
XLOC_030150	F59A1.10	3.54583	12.4144	3.50112846800671	1.80782	-5.87143	4.32058e-09	1.69796e-07
XLOC_022402	ttr-51	420.586	1469.01	3.49276602001832	1.80437	-9.53852	0	0
XLOC_032159	ZK287.4	0.797445	2.77972	3.4857763305561	1.80148	-5.55686	2.74675e-08	9.74994e-07
XLOC_035255	W05H9.1	51.5645	179.153	3.47436662657693	1.79675	-8.49999	0	0
XLOC_031473	F44E7.12,nhr-142	2.71348	9.42036	3.47169450001808	1.79564	-3.18544	0.00144532	0.0150805
XLOC_019235	C52D10.3	4.14593	14.2857	3.44573081323112	1.78481	-5.33185	9.72194e-08	3.21927e-06
XLOC_029849	cyp-37B1	0.599888	2.06109	3.43578557098296	1.78064	-3.48882	0.000485161	0.00614179
XLOC_028222	catp-3	16.0105	54.961	3.43280997889423	1.77939	-10.4293	0	0
XLOC_029546	hil-1	7.55129	25.8285	3.4204117321097	1.77417	-6.83289	8.32201e-12	4.47543e-10
XLOC_038277	acl-12	13.579	45.9805	3.38615966233699	1.75965	-6.59292	4.31253e-11	2.17221e-09
XLOC_001831	ptr-23	5.22469	17.573	3.36344577632865	1.74994	-8.85203	0	0
XLOC_038222	B0403.3	3.39994	11.3836	3.34818675335856	1.74338	-4.75738	1.96121e-06	5.0188e-05
XLOC_002654	T28F4.4	4.54093	15.1648	3.33958769782797	1.73967	-7.49934	6.41709e-14	4.30969e-12
